A    aa
NAIM    n ## m
NAJAM    n aa jh aa m
NAJASAH    n aa jh aa s aa hh
NAJASAT    n aa jh aa s aa t
NAJIS    n aa jh ih s
NAK    n aa k
NAKA    n aa k aa
NAKAL    n aa k aa l
NAKARA    n aa k aa r aa
NAKHODA    n aa hh ao d aa
NAL    n aa l
NALA    n aa l aa
NALAM    n aa l aa m
NALAR    n aa l aa r
NALI    n aa l ih
NALIH    n aa l ih hh
NALURI    n aa l uw r ih
NALURIAH    n aa l uw r ih aa hh
NAMA    n aa m aa
NAMASKARA    n aa m aa s k aa r aa
NAMATAD    n aa m aa t aa d
NAMATIUM    n aa m aa t ih uw m
NAMBI    n aa m b ih
NAMNAM    n aa m n aa m
NAMPAN    n aa m p aa n
NAMUN    n aa m uw n
NAN    n aa n
NANAH    n aa n aa hh
NANANG    n aa n aa ng
NANAP    n aa n aa p
NANAPLANKTON    n aa n aa p l aa n k t ao n
NANAR    n aa n aa r
NANAS    n aa n aa s
NANDU    n aa n d uw
NANDUNG    n aa n d uw ng
NANG    n aa ng
NANGKA    n aa ng k aa
NANGKODA    n aa ng k ao d aa
NANGKRING    n aa ng k r ih ng
NANGUI    n aa ng uw ih
NANING    n aa n ih ng
NANOFARAD    n aa n ao f aa r aa d
NANOFOSIL    n aa n ao f ao s ih l
NANOGRAM    n aa n ao g r aa m
NANOMETER    n aa n ao m ## t ## r
NANTI    n aa n t ih
NAPAL    n aa p aa l
NAPALM    n aa p aa l m
NAPAS    n aa p aa s
NAPUH    n aa p uw hh
NAQAL    n aa k aa l
NAQLI    n aa k l ih
NARA    n aa r aa
NARABLOG    n aa r aa b l ao g
NARAPATI    n aa r aa p aa t ih
NARAPIDANA    n aa r aa p ih d aa n aa
NARAPRAJA    n aa r aa p r aa jh aa
NARASI    n aa r aa s ih
NARASUMBER    n aa r aa s uw m b ## r
NARATIF    n aa r aa t ih f
NARATOR    n aa r aa t ao r
NARKOLEPSI    n aa r k ao l ## p s ih
NARKOMANIAK    n aa r k ao m aa n ih aa k
NARKOSE    n aa r k ao s ##
NARKOSIS    n aa r k ao s ih s
NARKOTIK    n aa r k ao t ih k
NARPATI    n aa r p aa t ih
NARSIS    n aa r s ih s
NARSISISME    n aa r s ih s ih s m ##
NARSISME    n aa r s ih s m ##
NARWASTU    n aa r w aa s t uw
NAS    n aa s
NASAB    n aa s aa b
NASABAH    n aa s aa b aa hh
NASAKH    n aa s aa hh
NASAL    n aa s aa l
NASALISASI    n aa s aa l ih s aa s ih
NASAR    n aa s aa r
NASEHAT    n aa s ## hh aa t
NASEL    n aa s ## l
NASI    n aa s ih
NASI-NASI    n aa s ih n aa s ih
NASIB    n aa s ih b
NASIHAT    n aa s ih hh aa t
NASION    n aa s ih ao n
NASIONAL    n aa s ih ao n aa l
NASIONALIS    n aa s ih ao n aa l ih s
NASIONALISASI    n aa s ih ao n aa l ih s aa s ih
NASIONALISME    n aa s ih ao n aa l ih s m ##
NASIONALISTIS    n aa s ih ao n aa l ih s t ih s
NASIONISME    n aa s ih ao n ih s m ##
NASKAH    n aa s k aa hh
NASOFARING    n aa s ao f aa r ih ng
NASRANI    n aa s r aa n ih
NASTI    n aa s t ih
NASUT    n aa s uw t
NATAL    n aa t aa l
NATALIS    n aa t aa l ih s
NATALITAS    n aa t aa l ih t aa s
NATANG    n aa t aa ng
NATAR    n aa t aa r
NATIJAH    n aa t ih jh aa hh
NATIVIS    n aa t ih f ih s
NATIVISME    n aa t ih f ih s m ##
NATIVISTIK    n aa t ih f ih s t ih k
NATOLOKAL    n aa t ao l ao k aa l
NATRIUM    n aa t r ih uw m
NATUR    n aa t uw r
NATURA    n aa t uw r aa
NATURAL    n aa t uw r aa l
NATURALIS    n aa t uw r aa l ih s
NATURALISASI    n aa t uw r aa l ih s aa s ih
NATURALISME    n aa t uw r aa l ih s m ##
NATURALISTIS    n aa t uw r aa l ih s t ih s
NATUROPATIS    n aa t uw r ao p aa t ih s
NAUNG    n ## ng
NAUPLIUS    n ## p l ih uw s
NAUSEA    n ## s ## aa
NAUTIK    n ## t ih k
NAUTIKA    n ## t ih k aa
NAUTIKAL    n ## t ih k aa l
NAUTILUS    n ## t ih l uw s
NAUZUBILLAH    n ## z uw b ih l l aa hh
NAVIGASI    n aa f ih g aa s ih
NAVIGATOR    n aa f ih g aa t ao r
NAWA    n aa w aa
NAWAITU    n aa w ## t uw
NAWALA    n aa w aa l aa
NAWALAPRADATA    n aa w aa l aa p r aa d aa t aa
NAYAKA    n aa y aa k aa
NAYAM    n aa y aa m
NAYAP    n aa y aa p
NAZAM    n aa z aa m
NAZAR    n aa z aa r
NAZI    n aa z ih
NAZIISME    n aa z ih ih s m ##
NAZIM    n aa z ih m
NAZIR    n aa z ih r
NDORO    n d ao r ao
NDOROISME    n d ao r ## s m ##
NEALA    n ## aa l aa
NEALOGI    n ## aa l ao g ih
NEBENG    n ## b ## ng
NEBULA    n ## b uw l aa
NEBULIUM    n ## b uw l ih uw m
NECES    n ## ch ## s
NECIS    n ## ch ih s
NEFOSKOP    n ## f ao s k ao p
NEFREKTOMI    n ## f r ## k t ao m ih
NEFRIDIUM    n ## f r ih d ih uw m
NEFRIT    n ## f r ih t
NEFRITIS    n ## f r ih t ih s
NEFROBLASTOMA    n ## f r ao b l aa s t ao m aa
NEFROLOGI    n ## f r ao l ao g ih
NEFRON    n ## f r ao n
NEFROSIS    n ## f r ao s ih s
NEGARA    n ## g aa r aa
NEGARAWAN    n ## g aa r aa w aa n
NEGASI    n ## g aa s ih
NEGATIF    n ## g aa t ih f
NEGATIVISME    n ## g aa t ih f ih s m ##
NEGATIVISTIK    n ## g aa t ih f ih s t ih k
NEGER    n ## g ## r
NEGERI    n ## g ## r ih
NEGOSI    n ## g ao s ih
NEGOSIASI    n ## g ao s ih aa s ih
NEGOSIATOR    n ## g ao s ih aa t ao r
NEGRITO    n ## g r ih t ao
NEGRO    n ## g r ao
NEGROID    n ## g r ## d
NEGUS    n ## g uw s
NEK    n ## k
NEKA    n ## k aa
NEKA-NEKA    n ## k aa n ## k aa
NEKAD    n ## k aa d
NEKARA    n ## k aa r aa
NEKAT    n ## k aa t
NEKEL    n ## k ## l
NEKO    n ## k ao
NEKROFAG    n ## k r ao f aa g
NEKROFAGUS    n ## k r ao f aa g uw s
NEKROFILI    n ## k r ao f ih l ih
NEKROFILIA    n ## k r ao f ih l ih aa
NEKROGEOGRAFI    n ## k r ao g ## ao g r aa f ih
NEKROLOG    n ## k r ao l ao g
NEKROLOGI    n ## k r ao l ao g ih
NEKROMANSI    n ## k r ao m aa n s ih
NEKROPOLIS    n ## k r ao p ao l ih s
NEKROPSI    n ## k r ao p s ih
NEKROSIS    n ## k r ao s ih s
NEKSUS    n ## k s uw s
NEKTAR    n ## k t aa r
NELANGSA    n ## l aa ng s aa
NELAYAN    n ## l aa y aa n
NEMAGON    n ## m aa g ao n
NEMATODA    n ## m aa t ao d aa
NEMATOLOGI    n ## m aa t ao l ao g ih
NEMATOSIDA    n ## m aa t ao s ih d aa
NEMATOSIS    n ## m aa t ao s ih s
NENDA    n ## n d aa
NENDATAN    n ## n d aa t aa n
NENEK    n ## n ## k
NENEKANDA    n ## n ## k aa n d aa
NENEN    n ## n ## n
NENENDA    n ## n ## n d aa
NENER    n ## n ## r
NENES    n ## n ## s
NENG    n ## ng
NEO-    n ## ao
NEODARWINISME    n ## ao d aa r w ih n ih s m ##
NEODIMIUM    n ## ao d ih m ih uw m
NEOFEODALISME    n ## ao f ## ao d aa l ih s m ##
NEOFEODALISTIS    n ## ao f ## ao d aa l ih s t ih s
NEOIKNOLOGI    n ## ## k n ao l ao g ih
NEOIMPRESIONISME    n ## ## m p r ## s ih ao n ih s m ##
NEOKARPI    n ## ao k aa r p ih
NEOKLASIK    n ## ao k l aa s ih k
NEOKLASISISME    n ## ao k l aa s ih s ih s m ##
NEOKLASISME    n ## ao k l aa s ih s m ##
NEOKOLONIALISME    n ## ao k ao l ao n ih aa l ih s m ##
NEOLIBERALISME    n ## ao l ih b ## r aa l ih s m ##
NEOLIT    n ## ao l ih t
NEOLITIK    n ## ao l ih t ih k
NEOLITIKUM    n ## ao l ih t ih k uw m
NEOLOGI    n ## ao l ao g ih
NEOLOGISME    n ## ao l ao g ih s m ##
NEOLOKAL    n ## ao l ao k aa l
NEON    n ## ao n
NEONATAL    n ## ao n aa t aa l
NEONATUS    n ## ao n aa t uw s
NEONTOLOGI    n ## ao n t ao l ao g ih
NEOPLASMA    n ## ao p l aa s m aa
NEOPLATONISME    n ## ao p l aa t ao n ih s m ##
NEOPRENA    n ## ao p r ## n aa
NEOSITOSIS    n ## ao s ih t ao s ih s
NEOTIPOLOGI    n ## ao t ih p ao l ao g ih
NEOVIRUS    n ## ao f ih r uw s
NEOZOIKUM    n ## ao z ## k uw m
NEPOTIS    n ## p ao t ih s
NEPOTISME    n ## p ao t ih s m ##
NEPTUNIUM    n ## p t uw n ih uw m
NEPTUNUS    n ## p t uw n uw s
NERACA    n ## r aa ch aa
NERAK    n ## r aa k
NERAKA    n ## r aa k aa
NERITIK    n ## r ih t ih k
NERITOPELAGIK    n ## r ih t ao p ## l aa g ih k
NERITOPLANKTON    n ## r ih t ao p l aa n k t ao n
NEROGLIA    n ## r ao g l ih aa
NERVASI    n ## r f aa s ih
NERVUR    n ## r f uw r
NESA    n ## s aa
NESTAPA    n ## s t aa p aa
NESTOR    n ## s t ao r
NET    n ## t
NETING    n ## t ih ng
NETO    n ## t ao
NETRA    n ## t r aa
NETRAL    n ## t r aa l
NETRALIS    n ## t r aa l ih s
NETRALISASI    n ## t r aa l ih s aa s ih
NETRALISME    n ## t r aa l ih s m ##
NETRALITAS    n ## t r aa l ih t aa s
NEURAL    n ## uw r aa l
NEURALGIA    n ## uw r aa l g ih aa
NEURASTENIA    n ## uw r aa s t ## n ih aa
NEURITIS    n ## uw r ih t ih s
NEUROBLASTOMA    n ## uw r ao b l aa s t ao m aa
NEUROGLIA    n ## uw r ao g l ih aa
NEUROLINGUISTIK    n ## uw r ao l ih ng uw ih s t ih k
NEUROLOG    n ## uw r ao l ao g
NEUROLOGI    n ## uw r ao l ao g ih
NEUROLOGIS    n ## uw r ao l ao g ih s
NEURON    n ## uw r ao n
NEUROSIS    n ## uw r ao s ih s
NEUROTIK    n ## uw r ao t ih k
NEUROTRANSMITER    n ## uw r ao t r aa n s m ih t ## r
NEUSTONOLOGI    n ## uw s t ao n ao l ao g ih
NEUTRINO    n ## uw t r ih n ao
NEUTRON    n ## uw t r ao n
NEWTON    n ## w t ao n
NGABEI    ng aa b ##
NGABEN    ng aa b ## n
NGABLAK    ng aa b l aa k
NGABUR    ng aa b uw r
NGAKNGIKNGOK    ng aa k ng ih k ng ao k
NGALAU    ng aa l ##
NGALOR-NGIDUL    ng aa l ao r ng ih d uw l
NGANGA    ng aa ng aa
NGAP-NGAP    ng aa p ng aa p
NGAPAIN    ng aa p ## n
NGARAI    ng aa r ##
NGEANG    ng ## aa ng
NGEBET    ng ## b ## t
NGEBUT    ng ## b uw t
NGECENG    ng ## ch ## ng
NGEDEN    ng ## d ## n
NGEDUMEL    ng ## d uw m ## l
NGELINDUR    ng ## l ih n d uw r
NGEMIL    ng ## m ih l
NGENAS    ng ## n aa s
NGENGAT    ng ## ng aa t
NGENYEK    ng ## ny ## k
NGEONG    ng ## ao ng
NGERES    ng ## r ## s
NGERI    ng ## r ih
NGIANG    ng ih aa ng
NGILU    ng ih l uw
NGOKO    ng ao k ao
NGOS-NGOSAN    ng ao s ng ao s aa n
NGOT-NGOTAN    ng ao t ng ao t aa n
NGOWOS    ng ao w ao s
NGOYO    ng ao y ao
NGUNG    ng uw ng
NI    n ih
NIA    n ih aa
NIAGA    n ih aa g aa
NIAGAWAN    n ih aa g aa w aa n
NIAN    n ih aa n
NIASIN    n ih aa s ih n
NIAT    n ih aa t
NIBUNG    n ih b uw ng
NICA    n ih ch aa
NIDASI    n ih d aa s ih
NIDERA    n ih d ## r aa
NIDIKOLA    n ih d ih k ao l aa
NIDULUS    n ih d uw l uw s
NIFAK    n ih f aa k
NIFAS    n ih f aa s
NIH    n ih hh
NIHIL    n ih hh ih l
NIHILIS    n ih hh ih l ih s
NIHILISME    n ih hh ih l ih s m ##
NIJAS    n ih jh aa s
NIK    n ih k
NIKAH    n ih k aa hh
NIKEL    n ih k ## l
NIKMAT    n ih k m aa t
NIKOTIN    n ih k ao t ih n
NIKTIGAMI    n ih k t ih g aa m ih
NILA    n ih l aa
NILAI    n ih l ##
NILAKANDI    n ih l aa k aa n d ih
NILAM    n ih l aa m
NILAU    n ih l ##
NILON    n ih l ao n
NIMBOSTRATUS    n ih m b ao s t r aa t uw s
NIMBRUNG    n ih m b r uw ng
NIMFOMANIA    n ih m f ao m aa n ih aa
NINABOBO    n ih n aa b ao b ao
NING    n ih ng
NINGNONG    n ih ng n ao ng
NINGRAT    n ih ng r aa t
NINI    n ih n ih
NINIK    n ih n ih k
NINITOWOK    n ih n ih t ao w ao k
NIOBIUM    n ih ao b ih uw m
NIPAH    n ih p aa hh
NIPIS    n ih p ih s
NIR-    n ih r
NIRA    n ih r aa
NIRAKSARA    n ih r aa k s aa r aa
NIRAKSARAWAN    n ih r aa k s aa r aa w aa n
NIRGAGASAN    n ih r g aa g aa s aa n
NIRGESEKAN    n ih r g ## s ## k aa n
NIRGUNA    n ih r g uw n aa
NIRKABEL    n ih r k aa b ## l
NIRLABA    n ih r l aa b aa
NIRLEKA    n ih r l ## k aa
NIRMALA    n ih r m aa l aa
NIRSELERA    n ih r s ## l ## r aa
NIRWANA    n ih r w aa n aa
NIRWARTA    n ih r w aa r t aa
NIS-    n ih s
NISAB    n ih s aa b
NISAN    n ih s aa n
NISBAH    n ih s b aa hh
NISBI    n ih s b ih
NISCAYA    n ih s ch aa y aa
NISKALA    n ih s k aa l aa
NISTA    n ih s t aa
NISTAGMUS    n ih s t aa g m uw s
NISTATIN    n ih s t aa t ih n
NITRAT    n ih t r aa t
NITRIFIKASI    n ih t r ih f ih k aa s ih
NITROBENZENA    n ih t r ao b ## n z ## n aa
NITROFILI    n ih t r ao f ih l ih
NITROFIT    n ih t r ao f ih t
NITROGEN    n ih t r ao g ## n
NITROGLISERIN    n ih t r ao g l ih s ## r ih n
NITROSELULOSA    n ih t r ao s ## l uw l ao s aa
NIYAGA    n ih y aa g aa
NOA    n ao aa
NOBAT    n ao b aa t
NOBELIUM    n ao b ## l ih uw m
NODA    n ao d aa
NODULUS    n ao d uw l uw s
NODUS    n ao d uw s
NOEM    n ao ## m
NOJA    n ao jh aa
NOKEN    n ao k ## n
NOKTAH    n ao k t aa hh
NOKTURIA    n ao k t uw r ih aa
NOKTURNAL    n ao k t uw r n aa l
NOL    n ao l
NOMAD    n ao m aa d
NOMENKLATUR    n ao m ## n k l aa t uw r
NOMINA    n ao m ih n aa
NOMINAL    n ao m ih n aa l
NOMINALISASI    n ao m ih n aa l ih s aa s ih
NOMINALISME    n ao m ih n aa l ih s m ##
NOMINASI    n ao m ih n aa s ih
NOMINATIF    n ao m ih n aa t ih f
NOMINATOR    n ao m ih n aa t ao r
NOMINE    n ao m ih n ##
NOMOGRAM    n ao m ao g r aa m
NOMOKRASI    n ao m ao k r aa s ih
NOMOR    n ao m ao r
NOMPLOK    n ao m p l ao k
NON    n ao n
NONA    n ao n aa
NONAGRESI    n ao n aa g r ## s ih
NONAKTIF    n ao n aa k t ih f
NONBLOK    n ao n b l ao k
NONDEPARTEMEN    n ao n d ## p aa r t ## m ## n
NONDEPARTEMENTAL    n ao n d ## p aa r t ## m ## n t aa l
NONE    n ao n ##
NONEKONOMI    n ao n ## k ao n ao m ih
NONEKSAKTA    n ao n ## k s aa k t aa
NONFIKSI    n ao n f ih k s ih
NONFORMAL    n ao n f ao r m aa l
NONG-NONG    n ao ng n ao ng
NONGOL    n ao ng ao l
NONGRATA    n ao ng r aa t aa
NONHISTORIS    n ao n hh ih s t ao r ih s
NONI    n ao n ih
NONILIUM    n ao n ih l ih uw m
NONINDUSTRI    n ao n ih n d uw s t r ih
NONINTERVENSI    n ao n ih n t ## r f ## n s ih
NONIUS    n ao n ih uw s
NONKIMIA    n ao n k ih m ih aa
NONKOMBATAN    n ao n k ao m b aa t aa n
NONKONVENSIONAL    n ao n k ao n f ## n s ih ao n aa l
NONKOOPERASI    n ao n k ao ao p ## r aa s ih
NONKOOPERATIF    n ao n k ao ao p ## r aa t ih f
NONMEDIS    n ao n m ## d ih s
NONMIGAS    n ao n m ih g aa s
NONMILITER    n ao n m ih l ih t ## r
NONOK    n ao n ao k
NONOL    n ao n ao l
NONONG    n ao n ao ng
NONPATOGENIK    n ao n p aa t ao g ## n ih k
NONPEMERINTAH    n ao n p ## m ## r ih n t aa hh
NONPOLITIK    n ao n p ao l ih t ih k
NONPREDIKATIF    n ao n p r ## d ih k aa t ih f
NONPRIBUMI    n ao n p r ih b uw m ih
NONPRODUKTIF    n ao n p r ao d uw k t ih f
NONPROFIT    n ao n p r ao f ih t
NONPROTEIN    n ao n p r ao t ## n
NONSENS    n ao n s ## n s
NONSILABIS    n ao n s ih l aa b ih s
NONSTANDAR    n ao n s t aa n d aa r
NONSTOP    n ao n s t ao p
NONTEKNIS    n ao n t ## k n ih s
NONTRADISIONAL    n ao n t r aa d ih s ih ao n aa l
NONVERBAL    n ao n f ## r b aa l
NOPEK    n ao p ## k
NORAK    n ao r aa k
NORIT    n ao r ih t
NORMA    n ao r m aa
NORMAL    n ao r m aa l
NORMALISASI    n ao r m aa l ih s aa s ih
NORMATIF    n ao r m aa t ih f
NOSOLOGI    n ao s ao l ao g ih
NOSTALGIA    n ao s t aa l g ih aa
NOSTRUM    n ao s t r uw m
NOT    n ao t
NOTA    n ao t aa
NOTABENE    n ao t aa b ## n ##
NOTARIAT    n ao t aa r ih aa t
NOTARIS    n ao t aa r ih s
NOTASI    n ao t aa s ih
NOTES    n ao t ## s
NOTIFIKASI    n ao t ih f ih k aa s ih
NOTOK    n ao t ao k
NOTULA    n ao t uw l aa
NOTULIS    n ao t uw l ih s
NOVA    n ao f aa
NOVEL    n ao f ## l
NOVELA    n ao f ## l aa
NOVELET    n ao f ## l ## t
NOVELIS    n ao f ## l ih s
NOVEMBER    n ao f ## m b ## r
NOVENA    n ao f ## n aa
NOVOKAINA    n ao f ao k ## n aa
NRIMA    n r ih m aa
NU    n uw
NUANSA    n uw aa n s aa
NUBUAT    n uw b uw aa t
NUDIS    n uw d ih s
NUDISME    n uw d ih s m ##
NUGAT    n uw g aa t
NUGRAHA    n uw g r aa hh aa
NUJUM    n uw jh uw m
NUKIL    n uw k ih l
NUKLEAT    n uw k l ## aa t
NUKLEOLUS    n uw k l ## ao l uw s
NUKLEON    n uw k l ## ao n
NUKLEOPROTEIN    n uw k l ## ao p r ao t ## n
NUKLEUS    n uw k l ## uw s
NUKLIDA    n uw k l ih d aa
NUKLIR    n uw k l ih r
NULIPARA    n uw l ih p aa r aa
NUMERALIA    n uw m ## r aa l ih aa
NUMERIK    n uw m ## r ih k
NUMERIS    n uw m ## r ih s
NUMISMATIKA    n uw m ih s m aa t ih k aa
NUN    n uw n
NUNATAK    n uw n aa t aa k
NUNG    n uw ng
NUNSIUS    n uw n s ih uw s
NUNUT    n uw n uw t
NUR    n uw r
NURAGA    n uw r aa g aa
NURANI    n uw r aa n ih
NURBISA    n uw r b ih s aa
NURI    n uw r ih
NURIAH    n uw r ih aa hh
NUS    n uw s
NUSA    n uw s aa
NUSAINDAH    n uw s ## n d aa hh
NUSAKAMBANGAN    n uw s aa k aa m b aa ng aa n
NUSANTARA    n uw s aa n t aa r aa
NUSYU    n uw sh uw
NUSYUS    n uw sh uw s
NUTAN    n uw t aa n
NUTASI    n uw t aa s ih
NUTFAH    n uw t f aa hh
NUTRIEA    n uw t r ih ## aa
NUTRISI    n uw t r ih s ih
NUTRISIONIS    n uw t r ih s ih ao n ih s
NUTRISISME    n uw t r ih s ih s m ##
NUZUL    n uw z uw l
NUZULUL    n uw z uw l uw l
NYAI    ny ##
NYAK    ny aa k
NYALA    ny aa l aa
NYALANG    ny aa l aa ng
NYALAR    ny aa l aa r
NYALAWADI    ny aa l aa w aa d ih
NYALE    ny aa l ##
NYALI    ny aa l ih
NYAMAN    ny aa m aa n
NYAMBING    ny aa m b ih ng
NYAMIK    ny aa m ih k
NYAMLENG    ny aa m l ## ng
NYAMPANG    ny aa m p aa ng
NYAMPLUNG    ny aa m p l uw ng
NYAMUK    ny aa m uw k
NYAMUR    ny aa m uw r
NYANA    ny aa n aa
NYANG    ny aa ng
NYANYA    ny aa ny aa
NYANYAH    ny aa ny aa hh
NYANYANG    ny aa ny aa ng
NYANYAR    ny aa ny aa r
NYANYI    ny aa ny ih
NYANYU    ny aa ny uw
NYANYUK    ny aa ny uw k
NYAPANG    ny aa p aa ng
NYAPNYAP    ny aa p ny aa p
NYARANG    ny aa r aa ng
NYARIK    ny aa r ih k
NYARING    ny aa r ih ng
NYARIS    ny aa r ih s
NYATA    ny aa t aa
NYATUH    ny aa t uw hh
NYAWA    ny aa w aa
NYAWANG    ny aa w aa ng
NYELEKIT    ny ## l ## k ih t
NYEMPLONG    ny ## m p l ao ng
NYENTRIK    ny ## n t r ih k
NYENYAI    ny ## ny ##
NYENYAK    ny ## ny aa k
NYENYAT    ny ## ny aa t
NYENYEH    ny ## ny ## hh
NYENYEP    ny ## ny ## p
NYENYET    ny ## ny ## t
NYEPI    ny ## p ih
NYERI    ny ## r ih
NYEROCOS    ny ## r ao ch ao s
NYI    ny ih
NYILIH    ny ih l ih hh
NYINGNYING    ny ih ng ny ih ng
NYINYIR    ny ih ny ih r
NYIRI    ny ih r ih
NYIRU    ny ih r uw
NYIT    ny ih t
NYIUR    ny ih uw r
NYOLNYOLAN    ny ao l ny ao l aa n
NYOLO    ny ao l ao
NYOMAN    ny ao m aa n
NYONG    ny ao ng
NYONYA    ny ao ny aa
NYONYEH    ny ao ny ## hh
NYONYONG    ny ao ny ao ng
NYONYOR    ny ao ny ao r
NYUNGSUNG    ny uw ng s uw ng
NYUNYUT    ny uw ny uw t
NYURENG    ny uw r ## ng
NYUT    ny uw t
O    ao
OASE    ao aa s ##
OASIS    ao aa s ih s
OBAR    ao b aa r
OBAT    ao b aa t
OBDUKSI    ao b d uw k s ih
OBELISK    ao b ## l ih s k
OBENG    ao b ## ng
OBESITAS    ao b ## s ih t aa s
OBI    ao b ih
OBITUARIUM    ao b ih t uw aa r ih uw m
OBJEK    ao b jh ## k
OBJEKTIF    ao b jh ## k t ih f
OBJEKTIVISME    ao b jh ## k t ih f ih s m ##
OBJEKTIVITAS    ao b jh ## k t ih f ih t aa s
OBLAK    ao b l aa k
OBLASI    ao b l aa s ih
OBLIGASI    ao b l ih g aa s ih
OBLONG    ao b l ao ng
OBO    ao b ao
OBOR    ao b ao r
OBRAL    ao b r aa l
OBRAS    ao b r aa s
OBROL    ao b r ao l
OBRUS    ao b r uw s
OBSERVASI    ao b s ## r f aa s ih
OBSERVATORIUM    ao b s ## r f aa t ao r ih uw m
OBSESI    ao b s ## s ih
OBSESIF    ao b s ## s ih f
OBSIDIAN    ao b s ih d ih aa n
OBSOLET    ao b s ao l ## t
OBSTETRI    ao b s t ## t r ih
OBSTRUEN    ao b s t r uw ## n
OBSTRUKSI    ao b s t r uw k s ih
OBVERSI    ao b f ## r s ih
OBVIATIF    ao b f ih aa t ih f
OBYEK    ao b y ## k
OBYEKTIF    ao b y ## k t ih f
OBYEKTIVISME    ao b y ## k t ih f ih s m ##
OBYEKTIVITAS    ao b y ## k t ih f ih t aa s
OCEH    ao ch ## hh
ODALAN    ao d aa l aa n
ODE    ao d ##
ODEKOLONYE    ao d ## k ao l ao ny ##
ODINOMETER    ao d ih n ao m ## t ## r
ODITUR    ao d ih t uw r
ODOH    ao d ao hh
ODOL    ao d ao l
ODOMETER    ao d ao m ## t ## r
ODONTOBLAS    ao d ao n t ao b l aa s
ODONTOID    ao d ao n t ## d
ODONTOLOGI    ao d ao n t ao l ao g ih
ODORAN    ao d ao r aa n
OEDIPUS-KOMPLEKS    ao ## d ih p uw s k ao m p l ## k s
OERSTED    ao ## r s t ## d
OFENSIF    ao f ## n s ih f
OFERTE    ao f ## r t ##
OFISIAL    ao f ih s ih aa l
OFSET    ao f s ## t
OFTALMIA    ao f t aa l m ih aa
OFTALMOSKOP    ao f t aa l m ao s k ao p
OGA    ao g aa
OGAH    ao g aa hh
OGAH-AGIH    ao g aa hh aa g ih hh
OGAK-AGIK    ao g aa k aa g ih k
OGAK-OGAK    ao g aa k ao g aa k
OGAM    ao g aa m
OGEL    ao g ## l
OGOK    ao g ao k
OGONIUM    ao g ao n ih uw m
OH    ao hh
OHM    ao hh m
OHMMETER    ao hh m m ## t ## r
OI    ##
OIKUMENE    ## k uw m ## n ##
OJA    ao jh aa
OJEG    ao jh ## g
OJEK    ao jh ## k
OJOK    ao jh ao k
OKARINA    ao k aa r ih n aa
OKE    ao k ##
OKER    ao k ## r
OKLOKRASI    ao k l ao k r aa s ih
OKLUSI    ao k l uw s ih
OKLUSIF    ao k l uw s ih f
OKNUM    ao k n uw m
OKOK    ao k ao k
OKSALAT    ao k s aa l aa t
OKSIASETILENA    ao k s ih aa s ## t ih l ## n aa
OKSIDA    ao k s ih d aa
OKSIDAN    ao k s ih d aa n
OKSIDASI    ao k s ih d aa s ih
OKSIDATOR    ao k s ih d aa t ao r
OKSIGEN    ao k s ih g ## n
OKSIGENASE    ao k s ih g ## n aa s ##
OKSIMORON    ao k s ih m ao r ao n
OKSITETRASIKLIN    ao k s ih t ## t r aa s ih k l ih n
OKSITON    ao k s ih t ao n
OKTAF    ao k t aa f
OKTAGON    ao k t aa g ao n
OKTAHEDRON    ao k t aa hh ## d r ao n
OKTAL    ao k t aa l
OKTANA    ao k t aa n aa
OKTET    ao k t ## t
OKTOBER    ao k t ao b ## r
OKTROI    ao k t r ##
OKULASI    ao k uw l aa s ih
OKULER    ao k uw l ## r
OKULIS    ao k uw l ih s
OKULTIS    ao k uw l t ih s
OKULTISME    ao k uw l t ih s m ##
OKUPASI    ao k uw p aa s ih
OKUPASIONAL    ao k uw p aa s ih ao n aa l
OLAH    ao l aa hh
OLAHRAGA    ao l aa hh r aa g aa
OLAHRAGAWAN    ao l aa hh r aa g aa w aa n
OLAK    ao l aa k
OLAK-ALIK    ao l aa k aa l ih k
OLAK-OLAK    ao l aa k ao l aa k
OLANDA    ao l aa n d aa
OLANG-ALING    ao l aa ng aa l ih ng
OLEANDER    ao l ## aa n d ## r
OLEFIN    ao l ## f ih n
OLEH    ao l ## hh
OLEH-OLEH    ao l ## hh ao l ## hh
OLEK    ao l ## k
OLENG    ao l ## ng
OLEOGRAFI    ao l ## ao g r aa f ih
OLEOMETER    ao l ## ao m ## t ## r
OLEOVITAMIN    ao l ## ao f ih t aa m ih n
OLES    ao l ## s
OLET    ao l ## t
OLEUM    ao l ## uw m
OLI    ao l ih
OLIA    ao l ih aa
OLIGARKI    ao l ih g aa r k ih
OLIGOFAGUS    ao l ih g ao f aa g uw s
OLIGOFRENIA    ao l ih g ao f r ## n ih aa
OLIGOPOLI    ao l ih g ao p ao l ih
OLIGOPOLISTIS    ao l ih g ao p ao l ih s t ih s
OLIGOPSONI    ao l ih g ao p s ao n ih
OLIGOSEN    ao l ih g ao s ## n
OLIGOSITEMIA    ao l ih g ao s ih t ## m ih aa
OLIGOTROFIK    ao l ih g ao t r ao f ih k
OLIMAN    ao l ih m aa n
OLIMPIADE    ao l ih m p ih aa d ##
OLIVA    ao l ih f aa
OLIVIN    ao l ih f ih n
OLOK    ao l ao k
OLONG-OLONG    ao l ao ng ao l ao ng
OM    ao m
OMA    ao m aa
